iter	RMSE
0	1639.052104
1	1568.042461
2	1507.396698
3	1453.898814
4	1408.548271
5	1368.735342
6	1334.809003
7	1303.911406
8	1278.0366
9	1255.268779
10	1233.939521
11	1215.912496
12	1199.846078
13	1185.573135
14	1173.073075
15	1163.018338
16	1154.188646
17	1145.659516
18	1138.627893
19	1131.456263
20	1126.31654
21	1121.430997
22	1117.098219
23	1113.900414
24	1110.300844
25	1107.839391
26	1105.869208
27	1103.718003
28	1101.666154
29	1100.313499
30	1098.837138
31	1097.670549
32	1097.135128
33	1096.436684
34	1095.918506
35	1095.026309
36	1093.480763
37	1092.43448
38	1091.770817
39	1091.309566
40	1091.021415
41	1090.440581
42	1089.976345
43	1089.754907
44	1089.171185
45	1088.72733
46	1088.642385
47	1088.458028
48	1088.200468
49	1087.803878
