iter	Passed	Remaining
0	7	384
1	18	446
2	24	389
3	33	388
4	39	359
5	48	353
6	54	334
7	90	473
8	98	447
9	104	418
10	112	398
11	118	376
12	128	365
13	134	346
14	140	328
15	149	317
16	155	302
17	163	289
18	170	277
19	177	266
20	184	255
21	193	245
22	200	235
23	209	227
24	218	218
25	226	208
26	239	203
27	253	198
28	262	190
29	268	179
30	279	171
31	285	160
32	294	151
33	300	141
34	331	142
35	337	131
36	346	121
37	353	111
38	361	101
39	368	92
40	379	83
41	386	73
42	396	64
43	403	55
44	413	45
45	425	37
46	432	27
47	440	18
48	448	9
49	461	0
